Date,Fut,Tag,Value,month,year
8/15/2003,December 03,OI Change,-735,8,2003
8/15/2003,March 04,Sales,10867,8,2003
8/15/2003,March 04,S Change,381,8,2003
8/15/2003,March 04,Purchase,1177,8,2003
8/15/2003,March 04,P Change,44,8,2003
8/15/2003,March 04,OI,9114,8,2003
8/15/2003,March 04,OI Change,653,8,2003
8/15/2003,May 04,Sales,6944,8,2003
8/15/2003,May 04,S Change,346,8,2003
8/15/2003,May 04,Purchase,1458,8,2003
8/15/2003,May 04,P Change,0,8,2003
8/15/2003,May 04,OI,2709,8,2003
8/15/2003,May 04,OI Change,79,8,2003
8/15/2003,July 04,Sales,10508,8,2003
8/15/2003,July 04,S Change,435,8,2003
8/15/2003,July 04,Purchase,57,8,2003
8/15/2003,July 04,P Change,0,8,2003
8/15/2003,July 04,OI,2346,8,2003
8/15/2003,July 04,OI Change,-3,8,2003
8/15/2003,October 04,Sales,2088,8,2003
8/15/2003,October 04,S Change,88,8,2003
8/15/2003,October 04,Purchase,21,8,2003
8/15/2003,October 04,P Change,0,8,2003
8/15/2003,October 04,OI,110,8,2003
8/15/2003,October 04,OI Change,1,8,2003
8/15/2003,December 04,Sales,2206,8,2003
8/15/2003,December 04,S Change,128,8,2003
8/15/2003,December 04,Purchase,23,8,2003
8/15/2003,December 04,P Change,0,8,2003
8/15/2003,December 04,OI,604,8,2003
8/15/2003,December 04,OI Change,46,8,2003
8/15/2003,March 05,Sales,571,8,2003
8/15/2003,March 05,S Change,-1,8,2003
8/15/2003,March 05,Purchase,0,8,2003
8/15/2003,March 05,P Change,0,8,2003
8/15/2003,March 05,OI,11,8,2003
8/15/2003,March 05,OI Change,1,8,2003
8/15/2003,May 05,Sales,306,8,2003
8/15/2003,May 05,S Change,0,8,2003
8/15/2003,May 05,Purchase,0,8,2003
8/15/2003,May 05,P Change,0,8,2003
8/15/2003,May 05,OI,25,8,2003
8/15/2003,May 05,OI Change,0,8,2003
8/15/2003,July 05,Sales,606,8,2003
8/15/2003,July 05,S Change,0,8,2003
8/15/2003,July 05,Purchase,0,8,2003
8/15/2003,July 05,P Change,0,8,2003
8/15/2003,July 05,OI,0,8,2003
8/15/2003,July 05,OI Change,0,8,2003
8/15/2003,December 05,Sales,435,8,2003
8/15/2003,December 05,S Change,0,8,2003
8/15/2003,December 05,Purchase,0,8,2003
8/15/2003,December 05,P Change,0,8,2003
8/15/2003,December 05,OI,0,8,2003
8/15/2003,December 05,OI Change,0,8,2003
8/15/2003,Totals,Sales,43113,8,2003
8/15/2003,Totals,S Change,1055,8,2003
8/15/2003,Totals,Purchase,10869,8,2003
8/15/2003,Totals,P Change,107,8,2003
8/15/2003,Totals,OI,61376,8,2003
8/15/2003,Totals,OI Change,-87,8,2003
8/22/2003,October 03,Sales,1075,8,2003
8/22/2003,October 03,S Change,12,8,2003
8/22/2003,October 03,Purchase,701,8,2003
8/22/2003,October 03,P Change,-10,8,2003
8/22/2003,October 03,OI,3231,8,2003
8/22/2003,October 03,OI Change,-140,8,2003
8/22/2003,December 03,Sales,7617,8,2003
8/22/2003,December 03,S Change,103,8,2003
8/22/2003,December 03,Purchase,7324,8,2003
8/22/2003,December 03,P Change,-135,8,2003
8/22/2003,December 03,OI,44835,8,2003
8/22/2003,December 03,OI Change,1749,8,2003
8/22/2003,March 04,Sales,10774,8,2003
8/22/2003,March 04,S Change,-111,8,2003
8/22/2003,March 04,Purchase,1249,8,2003
8/22/2003,March 04,P Change,72,8,2003
8/22/2003,March 04,OI,10104,8,2003
8/22/2003,March 04,OI Change,990,8,2003
8/22/2003,May 04,Sales,6766,8,2003
8/22/2003,May 04,S Change,-185,8,2003
8/22/2003,May 04,Purchase,1664,8,2003
8/22/2003,May 04,P Change,265,8,2003
8/22/2003,May 04,OI,2950,8,2003
8/22/2003,May 04,OI Change,241,8,2003
8/22/2003,July 04,Sales,10723,8,2003
8/22/2003,July 04,S Change,1,8,2003
8/22/2003,July 04,Purchase,67,8,2003
8/22/2003,July 04,P Change,0,8,2003
8/22/2003,July 04,OI,2369,8,2003
8/22/2003,July 04,OI Change,23,8,2003
8/22/2003,October 04,Sales,2104,8,2003
8/22/2003,October 04,S Change,16,8,2003
8/22/2003,October 04,Purchase,21,8,2003
8/22/2003,October 04,P Change,0,8,2003
